Sample	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences
Kallisto | SRR8668755	47416719.0					52.731322892795		
Kallisto | SRR8668755_1M_subsample	527959.0					52.795899999999996		
Kallisto | SRR8668756	58270530.0					68.97238531551383		
Kallisto | SRR8668757	46344064.0					48.72672329356531		
Kallisto | SRR8668758	18762070.0					62.20519820928473		
Kallisto | SRR8668759	2560609.0					48.09737477088743		
Kallisto | SRR8668771	33603869.0					52.1503335910184		
Kallisto | SRR8668772	37041301.0					54.32876513499446		
Kallisto | SRR8668773	45774918.0					65.41131400983676		
Kallisto | SRR8668774	78640298.0					58.95608069017697		
fastqc | SRR8668755		74.47977032774406	30.0	50.0	75		65.89399718245215	89921353.0
fastqc | SRR8668755_1M_subsample		74.479287	20.0	50.0	75		34.98187394271703	1000000.0
fastqc | SRR8668756		74.27136176491946	20.0	48.0	75		59.05638296198224	84483855.0
fastqc | SRR8668757		74.47828267220119	20.0	47.0	75		56.27171289620192	95110159.0
fastqc | SRR8668758		72.73567113313266	10.0	49.0	75		48.73720826058155	30161579.0
fastqc | SRR8668759		72.67510869111962	40.0	57.0	75		50.82794296566836	5323802.0
fastqc | SRR8668769		74.49919337120164	30.0	53.0	75		71.71708122692716	94251532.0
fastqc | SRR8668771		74.51151436024564	30.0	52.0	75		63.81019030990686	64436537.0
fastqc | SRR8668772		74.46793996753237	30.0	50.0	75		62.37434087264336	68179906.0
fastqc | SRR8668773		74.46369312611812	30.0	50.0	75		62.23118774864832	69980123.0
fastqc | SRR8668774		73.84977352599223	30.0	49.0	75		59.44554091232145	133387934.0
