Sample	percent_aligned	total_reads	not_pseudoaligned_reads	pseudoaligned_reads
Kallisto | SRR8668755	52.731322892795	89921353.0	42504634.0	47416719.0
Kallisto | SRR8668755_1M_subsample	52.795899999999996	1000000.0	472041.0	527959.0
Kallisto | SRR8668756	68.97238531551383	84483855.0	26213325.0	58270530.0
Kallisto | SRR8668757	48.72672329356531	95110159.0	48766095.0	46344064.0
Kallisto | SRR8668758	62.20519820928473	30161579.0	11399509.0	18762070.0
Kallisto | SRR8668759	48.09737477088743	5323802.0	2763193.0	2560609.0
Kallisto | SRR8668771	52.1503335910184	64436537.0	30832668.0	33603869.0
Kallisto | SRR8668772	54.32876513499446	68179906.0	31138605.0	37041301.0
Kallisto | SRR8668773	65.41131400983676	69980123.0	24205205.0	45774918.0
Kallisto | SRR8668774	58.95608069017697	133387934.0	54747636.0	78640298.0
