Module	Section	Sample Name	Source
Kallisto	all_sections	Kallisto | SRR8668774	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/CL13.log
Kallisto	all_sections	Kallisto | SRR8668755_1M_subsample	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/test.log
Kallisto	all_sections	Kallisto | SRR8668773	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/CL12.log
Kallisto	all_sections	Kallisto | SRR8668771	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/CL10.log
Kallisto	all_sections	Kallisto | SRR8668772	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/CL11.log
Kallisto	all_sections	Kallisto | SRR8668757	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/HS03.log
Kallisto	all_sections	Kallisto | SRR8668756	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/HS02.log
Kallisto	all_sections	Kallisto | SRR8668755	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/HS01.log
Kallisto	all_sections	Kallisto | SRR8668759	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/HS05.log
Kallisto	all_sections	Kallisto | SRR8668758	/Users/zhousj/Desktop/DIYTranscriptomics/Kallisto/HS04.log
FastQC	all_sections	fastqc | SRR8668757	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668757_fastqc.zip
FastQC	all_sections	fastqc | SRR8668771	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668771_fastqc.zip
FastQC	all_sections	fastqc | SRR8668774	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668774_fastqc.zip
FastQC	all_sections	fastqc | SRR8668755	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668755_fastqc.zip
FastQC	all_sections	fastqc | SRR8668758	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668758_fastqc.zip
FastQC	all_sections	fastqc | SRR8668773	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668773_fastqc.zip
FastQC	all_sections	fastqc | SRR8668755_1M_subsample	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	fastqc | SRR8668769	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668769_fastqc.zip
FastQC	all_sections	fastqc | SRR8668756	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668756_fastqc.zip
FastQC	all_sections	fastqc | SRR8668759	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668759_fastqc.zip
FastQC	all_sections	fastqc | SRR8668772	/Users/zhousj/Desktop/DIYTranscriptomics/fastqc/SRR8668772_fastqc.zip
